RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
0,2,2,12,NA
8,2,3,6,0.9
29,1,2,3,0.35
6,2,6,4,0.73
9,1,3,7,1.08
28,1,3,10,5
37,1,6,8,1.81
80,2,3,6,2.09
0,2,3,14,3.26
17,2,1,8,1.65
3,1,6,8,2.1
56,2,4,6,2.16
23,2,3,7,1.77
76,2,3,12,NA
5,2,4,14,3.4
47,1,3,3,0.86
29,1,4,2,0.45
16,1,6,NA,NA
35,2,3,14,3.84
62,2,3,8,3.05
2,1,3,15,5
14,1,4,5,0.83
0,1,3,15,5
1,1,3,10,2.36
11,1,3,6,0
5,2,2,15,5
60,1,4,12,NA
22,1,3,15,4.48
36,2,4,4,0.54
19,1,4,8,2.12
55,1,6,14,3.14
35,1,1,7,3.31
0,1,3,8,1.86
0,2,1,7,1.68
31,2,3,14,3.82
38,2,4,4,0.71
63,1,4,10,3.69
11,2,2,8,2.12
10,1,4,9,1.88
47,1,3,14,3.56
64,2,3,3,1.1
0,1,2,NA,NA
5,2,6,15,4.61
37,1,4,15,5
16,1,1,6,0.9
77,2,2,4,0.78
11,2,1,14,4.12
0,1,3,7,1.2
45,1,6,15,5
38,2,3,6,1.12
1,2,4,6,1.2
13,1,3,15,5
15,2,1,8,1.63
61,2,3,1,0
20,2,3,15,5
1,1,3,4,0.47
58,2,4,7,3.77
45,1,3,14,4.61
45,1,7,1,0.13
80,1,1,5,1.42
34,1,3,7,1.01
1,1,4,14,3.4
5,2,6,6,1.32
1,1,4,4,0.57
4,1,3,1,0.03
16,2,1,7,1.27
2,2,3,9,2.62
80,1,3,4,1.11
3,1,1,8,2.12
0,1,1,6,1.27
68,2,2,8,1.89
1,1,1,2,0.25
8,1,7,7,1.25
50,2,1,10,3.33
18,2,1,6,0.52
35,2,4,77,NA
8,2,1,6,1.52
4,1,1,6,1.27
11,2,4,15,3.96
3,2,3,8,1.39
69,2,4,8,1.29
78,1,3,8,3.09
16,2,3,15,3.6
36,2,3,15,5
80,2,3,14,5
8,2,4,NA,0.47
10,2,3,9,1.97
40,1,1,8,2.3
2,1,4,14,4.61
8,1,6,9,1.72
4,1,3,6,1
2,1,2,2,0.28
29,1,1,8,2.12
59,1,4,3,1.22
6,1,1,3,0.61
10,2,3,6,1.12
27,1,4,2,0.51
47,2,1,6,1.07
43,2,3,5,0.84
21,2,3,15,5
4,2,1,6,1.26
14,1,1,5,0.7
80,1,3,15,5
48,2,2,6,1.27
64,1,3,15,5
46,1,3,15,5
80,1,3,7,2.23
15,1,3,NA,NA
0,2,2,5,1.01
0,2,1,5,1.42
16,2,1,6,1.59
1,1,4,3,0.69
0,1,7,77,NA
60,2,3,2,0.67
6,1,6,6,1.27
21,2,4,1,0.03
2,1,1,3,0.72
61,2,1,15,5
47,1,1,4,0.54
11,1,7,4,0.57
58,2,4,9,3.95
0,1,4,3,0.55
1,2,1,6,0.95
51,1,1,6,1.27
45,2,1,5,0.63
72,1,4,4,1.29
25,1,1,4,0.65
0,2,3,7,1.78
65,1,3,6,1.15
1,1,2,13,NA
65,1,2,6,1.93
23,2,4,3,0.77
75,2,3,15,5
55,1,4,10,2.94
11,2,2,15,5
5,2,4,4,0.54
46,1,3,1,0.08
40,1,7,9,4.88
10,1,4,5,0.55
8,2,3,6,0.67
27,2,1,6,0.56
43,1,3,6,1.61
63,2,2,4,0.54
55,2,6,10,3.58
4,2,4,12,1.81
32,2,3,15,5
44,2,4,5,0.85
6,1,3,4,0.64
35,2,4,6,0.95
2,2,7,12,NA
23,2,3,2,0.56
28,2,3,6,1.2
1,2,4,5,0.75
19,2,2,10,3.02
36,1,3,4,0.54
1,1,1,6,0.88
62,1,3,10,3.54
40,2,3,6,1.23
26,2,6,6,1.52
66,1,2,77,NA
55,2,3,13,0.96
53,2,3,14,3.84
8,1,2,99,NA
19,1,3,7,1.08
63,2,1,8,2.86
53,1,3,15,5
2,2,4,7,1.68
4,2,4,1,0.07
80,2,3,5,1.39
16,2,2,8,1.58
73,2,3,6,1.38
3,2,4,8,1.36
4,1,2,8,2.3
51,1,6,3,0.48
13,2,2,5,0.82
75,1,1,4,1.01
30,2,3,6,0.93
60,2,1,4,0.99
10,1,4,8,1.89
0,2,4,6,0.79
24,1,7,6,0.83
66,1,1,14,2.82
74,2,3,7,3.43
67,1,3,5,1.27
30,1,3,NA,NA
73,1,4,5,1.53
1,1,4,5,0.96
0,1,3,8,2.53
53,2,4,8,3.22
5,1,1,5,0.63
45,2,4,5,1.06
0,1,1,13,NA
58,1,3,14,5
6,1,3,15,3.48
66,2,4,15,5
20,2,4,5,0.84
18,2,4,10,2.97
12,1,6,15,5
3,1,6,NA,NA
62,2,3,15,5
9,1,1,99,NA
68,1,6,77,NA
14,1,1,14,2.25
46,2,2,14,5
0,2,3,7,1.18
64,1,1,9,3.87
47,2,1,14,3.5
35,2,3,4,0.97
12,2,1,7,2.05
4,2,4,6,1.16
19,1,1,7,0.98
17,1,4,5,1.06
0,2,1,3,0.34
80,1,3,8,3.18
14,2,4,6,1.54
1,2,6,7,1.25
0,2,3,15,5
46,2,3,6,1.26
37,2,4,3,0.31
21,1,3,NA,NA
15,1,1,77,NA
29,2,3,14,5
63,2,3,4,1
14,1,1,77,NA
18,1,6,1,0
30,1,2,5,1.01
46,1,4,15,4.38
56,2,2,9,3.81
0,2,4,9,2.15
2,2,3,2,0.33
60,2,6,15,5
11,1,3,8,1.92
34,1,2,14,4.77
51,1,1,3,1.11
14,1,3,9,3.07
33,1,6,15,4.77
45,2,4,6,1.26
2,1,4,13,NA
20,2,3,NA,NA
68,2,3,9,3.81
49,1,1,5,0.7
15,2,3,15,3.67
18,2,4,4,0.71
4,2,4,15,5
56,1,1,6,1.52
8,1,3,2,0.33
40,2,1,6,0.95
29,2,2,4,0.54
62,2,4,4,0.54
36,2,6,15,5
62,1,3,15,5
3,1,3,8,1.29
12,2,1,77,NA
12,1,3,5,0.63
38,2,3,4,0.97
65,1,4,4,1.29
5,2,2,5,1.01
52,1,6,6,1.59
8,2,6,77,NA
16,1,1,6,1.07
13,1,6,7,1.14
6,1,4,14,2.66
80,2,3,5,1.71
80,2,3,15,4.61
80,2,3,4,1.57
12,2,2,8,1.58
17,1,1,6,0.91
21,2,3,5,1.29
67,2,1,4,0.97
18,2,3,15,5
75,1,6,15,3.93
11,2,3,15,4.35
28,2,6,4,0.87
39,1,1,12,NA
20,1,1,6,1.27
9,2,4,5,1.27
17,1,4,6,1.26
56,2,2,15,2.27
0,2,1,9,0.97
75,1,6,3,0.85
32,2,1,10,2.36
16,1,4,15,4.25
5,1,3,4,0.75
25,2,4,15,5
11,1,3,4,0.53
12,2,3,15,5
24,1,4,9,0.7
37,2,1,8,NA
71,1,4,77,NA
53,1,4,3,0.61
62,1,3,7,1.92
44,1,1,5,0.86
34,1,3,10,2.89
13,1,3,9,1.51
11,2,7,14,4.1
15,1,3,15,4.19
68,1,3,14,5
32,1,4,6,0.78
54,2,3,4,0.97
74,1,6,15,5
8,1,4,3,0.55
51,1,1,7,1.05
76,1,6,15,5
18,1,6,1,0
15,2,3,5,1.04
47,2,3,4,0.8
2,1,3,14,4.92
2,1,4,3,0.42
72,2,2,3,1.03
11,1,4,9,2.38
1,2,4,3,0.42
47,2,6,13,NA
52,1,4,15,5
36,2,3,10,2.58
11,2,1,15,5
53,2,1,10,3.58
12,1,4,6,1.09
66,1,3,9,4.05
7,2,1,4,0.42
37,2,1,7,1.14
8,2,1,8,0
3,2,3,1,0.09
46,1,1,8,1.91
5,1,1,77,NA
13,1,7,7,1.13
27,2,1,2,0.28
64,2,3,10,4.13
53,1,3,15,5
57,2,3,7,1.68
9,2,4,8,2.04
3,1,3,4,0.75
63,2,3,8,3.37
5,1,6,15,2.81
14,1,1,14,3.91
8,2,3,15,4.67
61,1,3,15,5
73,2,3,7,3.6
41,1,2,8,1.58
